Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
60,2014-01-29T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,33,180,NA
60,2014-04-02T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,46,157,NA
60,2014-07-02T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,50,226,NA
60,2014-12-02T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,51,234,NA
60,2014-02-17T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,52,315,NA
60,2014-02-20T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,52,328,NA
60,2014-02-25T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,48,215,NA
60,2014-03-03T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,46,283,NA
60,2014-06-03T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,49,184,NA
60,2014-11-03T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,36,145,NA
60,2014-03-14T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,48,149,NA
60,2014-03-20T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,47,156,NA
60,2014-03-25T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,48,170,NA
60,2014-03-28T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,56,163,NA
60,2014-03-04T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,45,147,NA
60,2014-09-04T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,49,183,NA
60,2014-04-16T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,42,211,NA
60,2014-04-22T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,48,241,NA
60,2014-04-25T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,47,202,NA
60,2014-01-05T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,35,213,NA
